user_id,started_at,finished_at,longitude,latitude,location_id,location_longitude,location_latitude,purpose
5,2023-01-01 08:00:00+00:00,2023-01-01 18:00:00+00:00,81.0,132.0,35,81.0,132.0,
5,2023-01-01 18:00:00+00:00,2023-01-02 16:30:00+00:00,82.0,134.0,31,82.0,134.0,
5,2023-01-02 18:00:00+00:00,2023-01-02 22:30:00+00:00,82.0,134.0,31,82.0,134.0,
5,2023-01-02 23:00:00+00:00,2023-01-03 06:00:00+00:00,84.0,134.0,28,84.0,134.0,
5,2023-01-03 07:00:00+00:00,2023-01-03 08:00:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-03 08:30:00+00:00,2023-01-03 17:00:00+00:00,115.0,82.0,81,115.0,82.0,
5,2023-01-03 17:30:00+00:00,2023-01-03 19:00:00+00:00,123.0,82.0,68,123.0,82.0,
5,2023-01-03 20:30:00+00:00,2023-01-04 06:30:00+00:00,83.0,132.0,36,83.0,132.0,
5,2023-01-04 08:30:00+00:00,2023-01-04 14:00:00+00:00,105.0,84.0,2,105.0,84.0,
5,2023-01-04 14:00:00+00:00,2023-01-04 15:30:00+00:00,110.0,84.0,79,110.0,84.0,
5,2023-01-04 16:00:00+00:00,2023-01-04 17:30:00+00:00,124.0,82.0,63,124.0,82.0,
5,2023-01-04 17:30:00+00:00,2023-01-04 20:00:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-04 21:00:00+00:00,2023-01-05 06:30:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-05 07:00:00+00:00,2023-01-05 08:00:00+00:00,115.0,88.0,77,115.0,88.0,
5,2023-01-05 08:30:00+00:00,2023-01-05 12:00:00+00:00,119.0,87.0,73,119.0,87.0,
5,2023-01-05 13:00:00+00:00,2023-01-05 19:00:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-05 21:00:00+00:00,2023-01-06 06:30:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-06 07:00:00+00:00,2023-01-06 08:00:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-06 08:30:00+00:00,2023-01-06 15:30:00+00:00,123.0,89.0,72,123.0,89.0,
5,2023-01-06 16:00:00+00:00,2023-01-06 22:30:00+00:00,119.0,100.0,38,119.0,100.0,
5,2023-01-06 22:30:00+00:00,2023-01-06 23:30:00+00:00,124.0,89.0,70,124.0,89.0,
5,2023-01-07 00:30:00+00:00,2023-01-07 10:00:00+00:00,82.0,133.0,34,82.0,133.0,
5,2023-01-07 10:30:00+00:00,2023-01-07 12:00:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-07 12:30:00+00:00,2023-01-07 17:00:00+00:00,80.0,132.0,10,80.0,132.0,
5,2023-01-07 17:00:00+00:00,2023-01-07 19:30:00+00:00,82.0,134.0,31,82.0,134.0,
5,2023-01-07 20:00:00+00:00,2023-01-07 21:30:00+00:00,83.0,134.0,29,83.0,134.0,
5,2023-01-07 22:00:00+00:00,2023-01-07 23:00:00+00:00,83.0,134.0,29,83.0,134.0,
5,2023-01-07 23:30:00+00:00,2023-01-08 07:00:00+00:00,83.0,134.0,29,83.0,134.0,
5,2023-01-08 08:00:00+00:00,2023-01-08 15:30:00+00:00,83.0,104.0,5,83.0,104.0,
5,2023-01-08 18:30:00+00:00,2023-01-08 20:00:00+00:00,85.0,132.0,26,85.0,132.0,
5,2023-01-08 20:00:00+00:00,2023-01-09 07:00:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-09 09:00:00+00:00,2023-01-09 17:00:00+00:00,89.0,95.0,6,89.0,95.0,
5,2023-01-09 19:30:00+00:00,2023-01-09 23:30:00+00:00,80.0,130.0,9,80.0,130.0,
5,2023-01-09 23:30:00+00:00,2023-01-10 06:30:00+00:00,82.0,134.0,31,82.0,134.0,
5,2023-01-10 07:00:00+00:00,2023-01-10 08:30:00+00:00,129.0,81.0,50,129.0,81.0,
5,2023-01-10 09:00:00+00:00,2023-01-10 14:00:00+00:00,114.0,82.0,80,114.0,82.0,
5,2023-01-10 14:00:00+00:00,2023-01-10 16:00:00+00:00,125.0,83.0,62,125.0,83.0,
5,2023-01-10 16:00:00+00:00,2023-01-10 18:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-10 19:30:00+00:00,2023-01-11 06:00:00+00:00,85.0,132.0,26,85.0,132.0,
5,2023-01-11 07:00:00+00:00,2023-01-11 08:00:00+00:00,129.0,81.0,50,129.0,81.0,
5,2023-01-11 08:30:00+00:00,2023-01-11 17:00:00+00:00,111.0,83.0,78,111.0,83.0,
5,2023-01-11 17:30:00+00:00,2023-01-11 20:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-11 21:00:00+00:00,2023-01-12 06:30:00+00:00,82.0,133.0,34,82.0,133.0,
5,2023-01-12 07:00:00+00:00,2023-01-12 08:30:00+00:00,129.0,81.0,50,129.0,81.0,
5,2023-01-12 08:30:00+00:00,2023-01-12 11:30:00+00:00,122.0,81.0,65,122.0,81.0,
5,2023-01-12 11:30:00+00:00,2023-01-12 12:30:00+00:00,126.0,90.0,71,126.0,90.0,
5,2023-01-12 12:30:00+00:00,2023-01-12 15:30:00+00:00,132.0,92.0,41,132.0,92.0,
5,2023-01-12 15:30:00+00:00,2023-01-12 18:30:00+00:00,129.0,83.0,57,129.0,83.0,
5,2023-01-12 19:30:00+00:00,2023-01-13 06:30:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-13 07:00:00+00:00,2023-01-13 08:00:00+00:00,129.0,81.0,50,129.0,81.0,
5,2023-01-13 08:30:00+00:00,2023-01-13 12:30:00+00:00,116.0,83.0,83,116.0,83.0,
5,2023-01-13 12:30:00+00:00,2023-01-13 15:00:00+00:00,115.0,86.0,76,115.0,86.0,
5,2023-01-13 15:00:00+00:00,2023-01-13 16:30:00+00:00,119.0,86.0,74,119.0,86.0,
5,2023-01-13 16:30:00+00:00,2023-01-13 18:00:00+00:00,127.0,83.0,53,127.0,83.0,
5,2023-01-13 18:00:00+00:00,2023-01-13 19:00:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-13 19:30:00+00:00,2023-01-13 20:30:00+00:00,82.0,133.0,34,82.0,133.0,
5,2023-01-13 21:00:00+00:00,2023-01-14 06:00:00+00:00,82.0,134.0,31,82.0,134.0,
5,2023-01-14 07:00:00+00:00,2023-01-14 08:00:00+00:00,129.0,81.0,50,129.0,81.0,
5,2023-01-14 09:00:00+00:00,2023-01-14 10:00:00+00:00,115.0,86.0,76,115.0,86.0,
5,2023-01-14 10:30:00+00:00,2023-01-14 14:00:00+00:00,115.0,85.0,82,115.0,85.0,
5,2023-01-14 14:30:00+00:00,2023-01-14 18:30:00+00:00,122.0,82.0,67,122.0,82.0,
5,2023-01-14 20:00:00+00:00,2023-01-14 21:30:00+00:00,83.0,134.0,29,83.0,134.0,
5,2023-01-14 21:30:00+00:00,2023-01-15 09:00:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-15 09:30:00+00:00,2023-01-15 14:00:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-15 16:00:00+00:00,2023-01-16 06:30:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-16 07:00:00+00:00,2023-01-16 08:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-16 08:30:00+00:00,2023-01-16 14:00:00+00:00,122.0,86.0,69,122.0,86.0,
5,2023-01-16 14:30:00+00:00,2023-01-16 17:00:00+00:00,125.0,83.0,62,125.0,83.0,
5,2023-01-16 17:00:00+00:00,2023-01-16 20:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-16 21:00:00+00:00,2023-01-17 07:00:00+00:00,85.0,132.0,26,85.0,132.0,
5,2023-01-17 07:00:00+00:00,2023-01-17 08:00:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-17 08:30:00+00:00,2023-01-17 16:00:00+00:00,102.0,82.0,4,102.0,82.0,
5,2023-01-17 16:30:00+00:00,2023-01-17 19:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-17 21:00:00+00:00,2023-01-18 06:30:00+00:00,83.0,133.0,30,83.0,133.0,
5,2023-01-18 07:00:00+00:00,2023-01-18 08:00:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-18 08:30:00+00:00,2023-01-18 13:00:00+00:00,111.0,83.0,78,111.0,83.0,
5,2023-01-18 13:00:00+00:00,2023-01-18 16:30:00+00:00,123.0,82.0,68,123.0,82.0,
5,2023-01-18 16:30:00+00:00,2023-01-18 17:30:00+00:00,126.0,82.0,64,126.0,82.0,
5,2023-01-18 17:30:00+00:00,2023-01-18 20:00:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-18 21:00:00+00:00,2023-01-19 06:00:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-19 07:00:00+00:00,2023-01-19 08:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-19 09:30:00+00:00,2023-01-19 17:00:00+00:00,106.0,82.0,1,106.0,82.0,
5,2023-01-19 17:30:00+00:00,2023-01-19 23:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-20 00:00:00+00:00,2023-01-20 06:30:00+00:00,54.0,177.0,14,54.0,177.0,
5,2023-01-20 07:00:00+00:00,2023-01-20 08:30:00+00:00,83.0,134.0,29,83.0,134.0,
5,2023-01-20 08:30:00+00:00,2023-01-20 17:00:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-20 17:30:00+00:00,2023-01-21 06:30:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-21 07:30:00+00:00,2023-01-21 08:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-21 09:00:00+00:00,2023-01-21 12:00:00+00:00,104.0,76.0,0,104.0,76.0,
5,2023-01-21 13:00:00+00:00,2023-01-21 14:30:00+00:00,128.0,82.0,54,128.0,82.0,
5,2023-01-21 15:30:00+00:00,2023-01-22 12:00:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-22 12:00:00+00:00,2023-01-23 06:00:00+00:00,80.0,133.0,12,80.0,133.0,
5,2023-01-23 07:00:00+00:00,2023-01-23 08:30:00+00:00,128.0,82.0,54,128.0,82.0,
5,2023-01-23 08:30:00+00:00,2023-01-23 12:30:00+00:00,132.0,84.0,48,132.0,84.0,
5,2023-01-23 12:30:00+00:00,2023-01-23 19:00:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-23 20:00:00+00:00,2023-01-24 06:30:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-24 07:00:00+00:00,2023-01-24 08:30:00+00:00,129.0,81.0,50,129.0,81.0,
5,2023-01-24 08:30:00+00:00,2023-01-24 12:00:00+00:00,136.0,87.0,96,136.0,87.0,
5,2023-01-24 12:00:00+00:00,2023-01-24 15:00:00+00:00,133.0,88.0,47,133.0,88.0,
5,2023-01-24 15:00:00+00:00,2023-01-24 16:00:00+00:00,129.0,84.0,58,129.0,84.0,
5,2023-01-24 16:00:00+00:00,2023-01-24 19:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-24 20:00:00+00:00,2023-01-24 21:30:00+00:00,82.0,133.0,34,82.0,133.0,
5,2023-01-24 21:30:00+00:00,2023-01-25 02:00:00+00:00,85.0,137.0,19,85.0,137.0,
5,2023-01-25 02:00:00+00:00,2023-01-25 06:30:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-25 07:30:00+00:00,2023-01-25 08:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-25 08:30:00+00:00,2023-01-25 12:00:00+00:00,136.0,88.0,97,136.0,88.0,
5,2023-01-25 12:00:00+00:00,2023-01-25 14:00:00+00:00,131.0,88.0,45,131.0,88.0,
5,2023-01-25 14:30:00+00:00,2023-01-25 19:30:00+00:00,129.0,82.0,55,129.0,82.0,work
5,2023-01-25 21:00:00+00:00,2023-01-26 06:30:00+00:00,81.0,133.0,33,81.0,133.0,home
5,2023-01-26 07:00:00+00:00,2023-01-26 08:00:00+00:00,129.0,81.0,50,129.0,81.0,
5,2023-01-26 08:30:00+00:00,2023-01-26 15:30:00+00:00,99.0,94.0,8,99.0,94.0,
5,2023-01-26 16:00:00+00:00,2023-01-26 17:00:00+00:00,102.0,83.0,3,102.0,83.0,
